ID,SLOPE,ELEVATION,FLOWACC,DIST_TO_STREAM,ROCK_TYPE,LANDSLIDE
108,31.38246346,1675,185,1023.82411,augen_gneiss,0
109,37.46428299,2062,0,781.5790022,augen_gneiss,0
111,21.77168465,1943,0,651.020997,silicate_marble_quartzite,0
112,24.23691368,1556,12,1010.184072,augen_gneiss,0
113,14.03561974,1302,0,819.9227093,quartzite_schist,0
114,30.90125847,1830,1,1046.264712,granite_gneiss,0
115,30.400383,2338,0,1808.087758,quartzite_schist,0
116,26.97074318,1855,0,1538.707078,quartzite_schist,0
117,14.760849,1369,1,1438.295032,quartzite_schist,0
118,20.92521667,1689,3,1015.052717,granite_gneiss,0
119,9.10605526,1800,659,1444.03636,augen_gneiss,0
121,26.78903389,2132,1,1796.531833,silicate_marble_quartzite,0
122,15.16514778,1457,15,1010.252152,augen_gneiss,0
123,13.15541172,1679,196,1162.935366,granite_gneiss,0
124,31.42317009,1604,1,1481.727857,quartzite_schist,0
125,21.21490669,1289,5,1360.127084,quartzite_schist,0
126,38.92749405,1246,0,1148.34756,granite_gneiss,0
127,18.69110107,1118,0,1037.967415,quartzite_schist,0
128,13.61179638,1523,4,1857.987815,quartzite_schist,0
129,22.35648727,1566,0,1077.027127,quartzite_schist,0
131,55.54908752,1652,0,1606.989528,quartzite_schist,0
132,35.10349274,2124,1,2900.500674,quartzite_schist,0
133,17.76525116,1088,0,1143.18897,quartzite_schist,0
134,30.74026108,1130,227,1074.278383,quartzite_schist,0
