OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
35,34,1,867.706149919550740,1798,1798,0,1798.000000000000000,0.000000000000000,1798.000000000000000,1,1798,1798,1798
36,35,1,867.706149919550740,2469,2469,0,2469.000000000000000,0.000000000000000,2469.000000000000000,1,2469,2469,2469
37,36,1,867.706149919550740,2132,2132,0,2132.000000000000000,0.000000000000000,2132.000000000000000,1,2132,2132,2132
38,37,1,867.706149919550740,1452,1452,0,1452.000000000000000,0.000000000000000,1452.000000000000000,1,1452,1452,1452
39,38,1,867.706149919550740,1672,1672,0,1672.000000000000000,0.000000000000000,1672.000000000000000,1,1672,1672,1672
40,39,1,867.706149919550740,1604,1604,0,1604.000000000000000,0.000000000000000,1604.000000000000000,1,1604,1604,1604
41,40,1,867.706149919550740,1289,1289,0,1289.000000000000000,0.000000000000000,1289.000000000000000,1,1289,1289,1289
42,41,1,867.706149919550740,1259,1259,0,1259.000000000000000,0.000000000000000,1259.000000000000000,1,1259,1259,1259
43,42,1,867.706149919550740,1130,1130,0,1130.000000000000000,0.000000000000000,1130.000000000000000,1,1130,1130,1130
44,43,1,867.706149919550740,1522,1522,0,1522.000000000000000,0.000000000000000,1522.000000000000000,1,1522,1522,1522
45,44,1,867.706149919550740,1566,1566,0,1566.000000000000000,0.000000000000000,1566.000000000000000,1,1566,1566,1566
46,45,1,867.706149919550740,1391,1391,0,1391.000000000000000,0.000000000000000,1391.000000000000000,1,1391,1391,1391
47,46,1,867.706149919550740,1603,1603,0,1603.000000000000000,0.000000000000000,1603.000000000000000,1,1603,1603,1603
48,47,1,867.706149919550740,2145,2145,0,2145.000000000000000,0.000000000000000,2145.000000000000000,1,2145,2145,2145
49,48,1,867.706149919550740,1092,1092,0,1092.000000000000000,0.000000000000000,1092.000000000000000,1,1092,1092,1092
50,49,1,867.706149919550740,1130,1130,0,1130.000000000000000,0.000000000000000,1130.000000000000000,1,1130,1130,1130
