OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
71,70,1,867.706149919548350,794,794,0,794.000000000000000,0.000000000000000,794.000000000000000,1,794,794,794
72,71,1,867.706149919548350,1221,1221,0,1221.000000000000000,0.000000000000000,1221.000000000000000,1,1221,1221,1221
73,72,1,867.706149919548350,1639,1639,0,1639.000000000000000,0.000000000000000,1639.000000000000000,1,1639,1639,1639
74,73,1,867.706149919548350,1669,1669,0,1669.000000000000000,0.000000000000000,1669.000000000000000,1,1669,1669,1669
75,74,1,867.706149919548350,1567,1567,0,1567.000000000000000,0.000000000000000,1567.000000000000000,1,1567,1567,1567
76,75,1,867.706149919548350,1350,1350,0,1350.000000000000000,0.000000000000000,1350.000000000000000,1,1350,1350,1350
77,76,1,867.706149919548350,893,893,0,893.000000000000000,0.000000000000000,893.000000000000000,1,893,893,893
78,77,1,867.706149919548350,894,894,0,894.000000000000000,0.000000000000000,894.000000000000000,1,894,894,894
79,78,1,867.706149919548350,1006,1006,0,1006.000000000000000,0.000000000000000,1006.000000000000000,1,1006,1006,1006
80,79,1,867.706149919548350,797,797,0,797.000000000000000,0.000000000000000,797.000000000000000,1,797,797,797
81,80,1,867.706149919548350,1029,1029,0,1029.000000000000000,0.000000000000000,1029.000000000000000,1,1029,1029,1029
82,81,1,867.706149919548350,655,655,0,655.000000000000000,0.000000000000000,655.000000000000000,1,655,655,655
83,82,1,867.706149919548350,854,854,0,854.000000000000000,0.000000000000000,854.000000000000000,1,854,854,854
84,83,1,867.706149919548350,1284,1284,0,1284.000000000000000,0.000000000000000,1284.000000000000000,1,1284,1284,1284
85,84,1,867.706149919548350,1263,1263,0,1263.000000000000000,0.000000000000000,1263.000000000000000,1,1263,1263,1263
86,85,1,867.706149919548350,1474,1474,0,1474.000000000000000,0.000000000000000,1474.000000000000000,1,1474,1474,1474
87,86,1,867.706149919548350,1282,1282,0,1282.000000000000000,0.000000000000000,1282.000000000000000,1,1282,1282,1282
88,87,1,867.706149919548350,1142,1142,0,1142.000000000000000,0.000000000000000,1142.000000000000000,1,1142,1142,1142
89,88,1,867.706149919548350,1934,1934,0,1934.000000000000000,0.000000000000000,1934.000000000000000,1,1934,1934,1934
90,89,1,867.706149919548350,2112,2112,0,2112.000000000000000,0.000000000000000,2112.000000000000000,1,2112,2112,2112
91,90,1,867.706149919548350,1332,1332,0,1332.000000000000000,0.000000000000000,1332.000000000000000,1,1332,1332,1332
92,91,1,867.706149919548350,2155,2155,0,2155.000000000000000,0.000000000000000,2155.000000000000000,1,2155,2155,2155
93,92,1,867.706149919548350,1510,1510,0,1510.000000000000000,0.000000000000000,1510.000000000000000,1,1510,1510,1510
94,93,1,867.706149919548350,2017,2017,0,2017.000000000000000,0.000000000000000,2017.000000000000000,1,2017,2017,2017
95,94,1,867.706149919548350,1819,1819,0,1819.000000000000000,0.000000000000000,1819.000000000000000,1,1819,1819,1819
96,95,1,867.706149919548350,1510,1510,0,1510.000000000000000,0.000000000000000,1510.000000000000000,1,1510,1510,1510
97,96,1,867.706149919548350,1295,1295,0,1295.000000000000000,0.000000000000000,1295.000000000000000,1,1295,1295,1295
98,97,1,867.706149919548350,1519,1519,0,1519.000000000000000,0.000000000000000,1519.000000000000000,1,1519,1519,1519
99,98,1,867.706149919548350,1054,1054,0,1054.000000000000000,0.000000000000000,1054.000000000000000,1,1054,1054,1054
100,99,1,867.706149919548350,1048,1048,0,1048.000000000000000,0.000000000000000,1048.000000000000000,1,1048,1048,1048
101,100,1,867.706149919548350,1443,1443,0,1443.000000000000000,0.000000000000000,1443.000000000000000,1,1443,1443,1443
102,101,1,867.706149919548350,1045,1045,0,1045.000000000000000,0.000000000000000,1045.000000000000000,1,1045,1045,1045
103,102,1,867.706149919548350,1322,1322,0,1322.000000000000000,0.000000000000000,1322.000000000000000,1,1322,1322,1322
104,103,1,867.706149919548350,1768,1768,0,1768.000000000000000,0.000000000000000,1768.000000000000000,1,1768,1768,1768
105,104,1,867.706149919548350,1688,1688,0,1688.000000000000000,0.000000000000000,1688.000000000000000,1,1688,1688,1688
106,105,1,867.706149919548350,1263,1263,0,1263.000000000000000,0.000000000000000,1263.000000000000000,1,1263,1263,1263
107,106,1,867.706149919548350,1569,1569,0,1569.000000000000000,0.000000000000000,1569.000000000000000,1,1569,1569,1569
108,107,1,867.706149919548350,2618,2618,0,2618.000000000000000,0.000000000000000,2618.000000000000000,1,2618,2618,2618
109,108,1,867.706149919548350,1768,1768,0,1768.000000000000000,0.000000000000000,1768.000000000000000,1,1768,1768,1768
110,109,1,867.706149919548350,1912,1912,0,1912.000000000000000,0.000000000000000,1912.000000000000000,1,1912,1912,1912
111,110,1,867.706149919548350,1984,1984,0,1984.000000000000000,0.000000000000000,1984.000000000000000,1,1984,1984,1984
112,111,1,867.706149919548350,2072,2072,0,2072.000000000000000,0.000000000000000,2072.000000000000000,1,2072,2072,2072
113,112,1,867.706149919548350,1751,1751,0,1751.000000000000000,0.000000000000000,1751.000000000000000,1,1751,1751,1751
114,113,1,867.706149919548350,1419,1419,0,1419.000000000000000,0.000000000000000,1419.000000000000000,1,1419,1419,1419
115,114,1,867.706149919548350,1867,1867,0,1867.000000000000000,0.000000000000000,1867.000000000000000,1,1867,1867,1867
116,115,1,867.706149919548350,1938,1938,0,1938.000000000000000,0.000000000000000,1938.000000000000000,1,1938,1938,1938
117,116,1,867.706149919548350,2229,2229,0,2229.000000000000000,0.000000000000000,2229.000000000000000,1,2229,2229,2229
118,117,1,867.706149919548350,2195,2195,0,2195.000000000000000,0.000000000000000,2195.000000000000000,1,2195,2195,2195
119,118,1,867.706149919548350,1920,1920,0,1920.000000000000000,0.000000000000000,1920.000000000000000,1,1920,1920,1920
120,119,1,867.706149919548350,1848,1848,0,1848.000000000000000,0.000000000000000,1848.000000000000000,1,1848,1848,1848
121,120,1,867.706149919548350,1834,1834,0,1834.000000000000000,0.000000000000000,1834.000000000000000,1,1834,1834,1834
122,121,1,867.706149919548350,2176,2176,0,2176.000000000000000,0.000000000000000,2176.000000000000000,1,2176,2176,2176
123,122,1,867.706149919548350,2592,2592,0,2592.000000000000000,0.000000000000000,2592.000000000000000,1,2592,2592,2592
124,123,1,867.706149919548350,2626,2626,0,2626.000000000000000,0.000000000000000,2626.000000000000000,1,2626,2626,2626
125,124,1,867.706149919548350,2617,2617,0,2617.000000000000000,0.000000000000000,2617.000000000000000,1,2617,2617,2617
126,125,1,867.706149919548350,2093,2093,0,2093.000000000000000,0.000000000000000,2093.000000000000000,1,2093,2093,2093
127,126,1,867.706149919548350,2020,2020,0,2020.000000000000000,0.000000000000000,2020.000000000000000,1,2020,2020,2020
128,127,1,867.706149919548350,1372,1372,0,1372.000000000000000,0.000000000000000,1372.000000000000000,1,1372,1372,1372
129,128,1,867.706149919548350,1621,1621,0,1621.000000000000000,0.000000000000000,1621.000000000000000,1,1621,1621,1621
130,129,1,867.706149919548350,1964,1964,0,1964.000000000000000,0.000000000000000,1964.000000000000000,1,1964,1964,1964
131,130,1,867.706149919548350,1517,1517,0,1517.000000000000000,0.000000000000000,1517.000000000000000,1,1517,1517,1517
132,131,1,867.706149919548350,1732,1732,0,1732.000000000000000,0.000000000000000,1732.000000000000000,1,1732,1732,1732
133,132,1,867.706149919548350,1895,1895,0,1895.000000000000000,0.000000000000000,1895.000000000000000,1,1895,1895,1895
134,133,1,867.706149919548350,1537,1537,0,1537.000000000000000,0.000000000000000,1537.000000000000000,1,1537,1537,1537
135,134,1,867.706149919548350,1102,1102,0,1102.000000000000000,0.000000000000000,1102.000000000000000,1,1102,1102,1102
136,135,1,867.706149919548350,1599,1599,0,1599.000000000000000,0.000000000000000,1599.000000000000000,1,1599,1599,1599
